id,name,lng,lat,tag,created_at,updated_at
143,"Center Boulevard, 1",12.577936,55.63971,0,2019-05-31 15:55:05.824633,2019-05-31 15:55:05.824633
144,Schloss Amalienborg,12.593002,55.68394,0,2019-05-31 15:55:05.835351,2019-05-31 15:55:05.835351
145,Börse,12.584026,55.675517,0,2019-05-31 15:55:05.844081,2019-05-31 15:55:05.844081
146,Vesterbro In Viertel,12.559064,55.668158,0,2019-05-31 15:55:05.850841,2019-05-31 15:55:05.850841
147,Absalon,12.579975,55.677967,0,2019-05-31 15:55:05.859543,2019-05-31 15:55:05.859543
148,"Knabrostræde, 3",12.574444,55.678012,0,2019-05-31 15:55:05.868026,2019-05-31 15:55:05.868026
149,Christianshavn,12.591194,55.672265,0,2019-05-31 15:55:05.878892,2019-05-31 15:55:05.878892
150,Kongens Nytorv,12.585111,55.679512,0,2019-05-31 15:55:05.8857,2019-05-31 15:55:05.8857
151,Kompagnistræde,12.575815,55.677288,0,2019-05-31 15:55:05.893044,2019-05-31 15:55:05.893044
152,Drachenspringbrunnen,12.568578,55.675706,0,2019-05-31 15:55:05.899082,2019-05-31 15:55:05.899082
153,Unbekannter Ort,12.572335,55.676764,0,2019-05-31 15:55:05.908677,2019-05-31 15:55:05.908677
154,Lurblæserne,12.570134,55.67602,0,2019-05-31 15:55:05.914998,2019-05-31 15:55:05.914998
155,Magstræde,12.575551,55.676396,0,2019-05-31 15:55:05.92134,2019-05-31 15:55:05.92134
156,Nyhavn,12.590382,55.680073,0,2019-05-31 15:55:05.928978,2019-05-31 15:55:05.928978
157,Marble Church,12.589576,55.684976,0,2019-05-31 15:55:05.934753,2019-05-31 15:55:05.934753
158,Runder Turm,12.575797,55.681369,0,2019-05-31 15:55:05.941286,2019-05-31 15:55:05.941286
159,Caroline Amalie,12.577944,55.686281,0,2019-05-31 15:55:05.947525,2019-05-31 15:55:05.947525
160,Weg,12.569574,55.683886,0,2019-05-31 15:55:05.955745,2019-05-31 15:55:05.955745
161,Hovedbanegården DGI byen (fjernbus),12.565451,55.669858,0,2019-05-31 15:55:05.961636,2019-05-31 15:55:05.961636
